Interview_ID,Candidate_ID,Requisition_ID,Stage_Name,Interviewer_ID,Interviewer_Role,Scheduled_Date,Feedback_Submitted_Date,Turnaround_Hours,SLA_Met,BARS_Score_1,BARS_Score_2,BARS_Score_3,BARS_Score_4,Mean_BARS_Score,Notes_Summary
INT-2026-0016,CAND-2026-0004,REQ-2026-ENG-G4,Calibration Review,APD-INT-016,Talent Acquisition Partner,2026-01-31,2026-02-02,40.0,Yes,4.5,4.6,4.7,4.8,4.65,Composite and decision evidence reviewed in calibration
INT-2026-0017,CAND-2026-0005,REQ-2026-ENG-G4,Work Sample Review,APD-INT-017,Technical Assessor,2026-02-01,2026-02-02,14.0,Yes,4.6,4.7,4.8,4.4,4.63,Work sample evidence recorded against the controlled scoring key
INT-2026-0018,CAND-2026-0005,REQ-2026-ENG-G4,Structured Interview A,APD-INT-018,Hiring Manager,2026-02-03,2026-02-05,25.0,Yes,4.6,4.7,4.8,4.4,4.63,Behavioral evidence mapped to published BARS anchors
INT-2026-0019,CAND-2026-0005,REQ-2026-ENG-G4,Structured Interview B,APD-INT-019,Cross-functional Panelist,2026-02-05,2026-02-07,36.0,Yes,4.6,4.7,4.8,4.4,4.63,Independent follow-up evidence locked before panel release
INT-2026-0020,CAND-2026-0005,REQ-2026-ENG-G4,Calibration Review,APD-INT-020,Talent Acquisition Partner,2026-02-07,2026-02-09,47.0,Yes,4.6,4.7,4.8,4.4,4.63,Composite and decision evidence reviewed in calibration
INT-2026-0021,CAND-2026-0006,REQ-2026-ENG-G4,Work Sample Review,APD-INT-021,Technical Assessor,2026-01-26,2026-01-27,21.0,Yes,4.8,4.4,4.5,4.6,4.58,Work sample evidence recorded against the controlled scoring key
INT-2026-0022,CAND-2026-0006,REQ-2026-ENG-G4,Structured Interview A,APD-INT-022,Hiring Manager,2026-01-28,2026-01-30,32.0,Yes,4.8,4.4,4.5,4.6,4.58,Behavioral evidence mapped to published BARS anchors
INT-2026-0023,CAND-2026-0006,REQ-2026-ENG-G4,Structured Interview B,APD-INT-023,Cross-functional Panelist,2026-01-30,2026-02-01,43.0,Yes,4.8,4.4,4.5,4.6,4.58,Independent follow-up evidence locked before panel release
INT-2026-0024,CAND-2026-0006,REQ-2026-ENG-G4,Calibration Review,APD-INT-024,Talent Acquisition Partner,2026-02-01,2026-02-02,17.0,Yes,4.8,4.4,4.5,4.6,4.58,Composite and decision evidence reviewed in calibration
INT-2026-0025,CAND-2026-0007,REQ-2026-ENG-G4,Work Sample Review,APD-INT-025,Technical Assessor,2026-02-02,2026-02-04,28.0,Yes,4.4,4.5,4.6,4.7,4.55,Work sample evidence recorded against the controlled scoring key
INT-2026-0026,CAND-2026-0007,REQ-2026-ENG-G4,Structured Interview A,APD-INT-026,Hiring Manager,2026-02-04,2026-02-06,39.0,Yes,4.4,4.5,4.6,4.7,4.55,Behavioral evidence mapped to published BARS anchors
INT-2026-0027,CAND-2026-0007,REQ-2026-ENG-G4,Structured Interview B,APD-INT-027,Cross-functional Panelist,2026-02-06,2026-02-07,13.0,Yes,4.4,4.5,4.6,4.7,4.55,Independent follow-up evidence locked before panel release
INT-2026-0028,CAND-2026-0007,REQ-2026-ENG-G4,Calibration Review,APD-INT-028,Talent Acquisition Partner,2026-02-08,2026-02-09,24.0,Yes,4.4,4.5,4.6,4.7,4.55,Composite and decision evidence reviewed in calibration
INT-2026-0029,CAND-2026-0008,REQ-2026-ENG-G4,Work Sample Review,APD-INT-029,Technical Assessor,2026-01-27,2026-01-29,35.0,Yes,4.5,4.6,4.7,4.8,4.65,Work sample evidence recorded against the controlled scoring key
INT-2026-0030,CAND-2026-0008,REQ-2026-ENG-G4,Structured Interview A,APD-INT-030,Hiring Manager,2026-01-29,2026-01-31,46.0,Yes,4.5,4.6,4.7,4.8,4.65,Behavioral evidence mapped to published BARS anchors
INT-2026-0031,CAND-2026-0008,REQ-2026-ENG-G4,Structured Interview B,APD-INT-031,Cross-functional Panelist,2026-01-31,2026-02-01,20.0,Yes,4.5,4.6,4.7,4.8,4.65,Independent follow-up evidence locked before panel release
INT-2026-0032,CAND-2026-0008,REQ-2026-ENG-G4,Calibration Review,APD-INT-032,Talent Acquisition Partner,2026-02-02,2026-02-04,31.0,Yes,4.5,4.6,4.7,4.8,4.65,Composite and decision evidence reviewed in calibration
INT-2026-0033,CAND-2026-0009,REQ-2026-ENG-G4,Work Sample Review,APD-INT-033,Technical Assessor,2026-02-03,2026-02-05,42.0,Yes,4.7,4.8,4.4,4.5,4.60,Work sample evidence recorded against the controlled scoring key
INT-2026-0034,CAND-2026-0009,REQ-2026-ENG-G4,Structured Interview A,APD-INT-034,Hiring Manager,2026-02-05,2026-02-06,16.0,Yes,4.7,4.8,4.4,4.5,4.60,Behavioral evidence mapped to published BARS anchors
INT-2026-0035,CAND-2026-0009,REQ-2026-ENG-G4,Structured Interview B,APD-INT-035,Cross-functional Panelist,2026-02-07,2026-02-09,27.0,Yes,4.7,4.8,4.4,4.5,4.60,Independent follow-up evidence locked before panel release
INT-2026-0036,CAND-2026-0009,REQ-2026-ENG-G4,Calibration Review,APD-INT-036,Talent Acquisition Partner,2026-02-09,2026-02-11,38.0,Yes,4.7,4.8,4.4,4.5,4.60,Composite and decision evidence reviewed in calibration
INT-2026-0037,CAND-2026-0010,REQ-2026-ENG-G4,Work Sample Review,APD-INT-037,Technical Assessor,2026-01-28,2026-01-29,12.0,Yes,4.8,4.4,4.5,4.6,4.58,Work sample evidence recorded against the controlled scoring key
INT-2026-0038,CAND-2026-0010,REQ-2026-ENG-G4,Structured Interview A,APD-INT-038,Hiring Manager,2026-01-30,2026-01-31,23.0,Yes,4.8,4.4,4.5,4.6,4.58,Behavioral evidence mapped to published BARS anchors
INT-2026-0039,CAND-2026-0010,REQ-2026-ENG-G4,Structured Interview B,APD-INT-039,Cross-functional Panelist,2026-02-01,2026-02-03,34.0,Yes,4.8,4.4,4.5,4.6,4.58,Independent follow-up evidence locked before panel release
INT-2026-0040,CAND-2026-0010,REQ-2026-ENG-G4,Calibration Review,APD-INT-040,Talent Acquisition Partner,2026-02-03,2026-02-05,45.0,Yes,4.8,4.4,4.5,4.6,4.58,Composite and decision evidence reviewed in calibration
INT-2026-0041,CAND-2026-0011,REQ-2026-ENG-G4,Work Sample Review,APD-INT-041,Technical Assessor,2026-02-04,2026-02-05,19.0,Yes,3.5,3.1,3.9,3.1,3.40,Work sample evidence recorded against the controlled scoring key
INT-2026-0042,CAND-2026-0011,REQ-2026-ENG-G4,Structured Interview A,APD-INT-042,Hiring Manager,2026-02-06,2026-02-08,30.0,Yes,3.5,3.1,3.9,3.1,3.40,Behavioral evidence mapped to published BARS anchors
INT-2026-0043,CAND-2026-0011,REQ-2026-ENG-G4,Structured Interview B,APD-INT-043,Cross-functional Panelist,2026-02-08,2026-02-10,41.0,Yes,3.5,3.1,3.9,3.1,3.40,Independent follow-up evidence locked before panel release
INT-2026-0044,CAND-2026-0011,REQ-2026-ENG-G4,Calibration Review,APD-INT-044,Talent Acquisition Partner,2026-02-10,2026-02-11,15.0,Yes,3.5,3.1,3.9,3.1,3.40,Composite and decision evidence reviewed in calibration
INT-2026-0045,CAND-2026-0012,REQ-2026-ENG-G4,Work Sample Review,APD-INT-045,Technical Assessor,2026-01-29,2026-01-31,26.0,Yes,3.8,3.6,3.6,3.3,3.58,Work sample evidence recorded against the controlled scoring key
INT-2026-0046,CAND-2026-0012,REQ-2026-ENG-G4,Structured Interview A,APD-INT-046,Hiring Manager,2026-01-31,2026-02-02,37.0,Yes,3.8,3.6,3.6,3.3,3.58,Behavioral evidence mapped to published BARS anchors
INT-2026-0047,CAND-2026-0012,REQ-2026-ENG-G4,Structured Interview B,APD-INT-047,Cross-functional Panelist,2026-02-02,2026-02-04,48.0,Yes,3.8,3.6,3.6,3.3,3.58,Independent follow-up evidence locked before panel release
INT-2026-0048,CAND-2026-0012,REQ-2026-ENG-G4,Calibration Review,APD-INT-048,Talent Acquisition Partner,2026-02-04,2026-02-05,22.0,Yes,3.8,3.6,3.6,3.3,3.58,Composite and decision evidence reviewed in calibration
INT-2026-0049,CAND-2026-0013,REQ-2026-ENG-G4,Work Sample Review,APD-INT-049,Technical Assessor,2026-01-23,2026-01-25,33.0,Yes,4.0,3.6,3.8,3.8,3.80,Work sample evidence recorded against the controlled scoring key
INT-2026-0050,CAND-2026-0013,REQ-2026-ENG-G4,Structured Interview A,APD-INT-050,Hiring Manager,2026-01-25,2026-01-27,44.0,Yes,4.0,3.6,3.8,3.8,3.80,Behavioral evidence mapped to published BARS anchors
INT-2026-0051,CAND-2026-0013,REQ-2026-ENG-G4,Structured Interview B,APD-INT-051,Cross-functional Panelist,2026-01-27,2026-01-28,18.0,Yes,4.0,3.6,3.8,3.8,3.80,Independent follow-up evidence locked before panel release
INT-2026-0052,CAND-2026-0013,REQ-2026-ENG-G4,Calibration Review,APD-INT-052,Talent Acquisition Partner,2026-01-29,2026-01-31,29.0,Yes,4.0,3.6,3.8,3.8,3.80,Composite and decision evidence reviewed in calibration
INT-2026-0053,CAND-2026-0014,REQ-2026-ENG-G4,Work Sample Review,APD-INT-053,Technical Assessor,2026-01-30,2026-02-01,40.0,Yes,3.4,3.5,4.0,3.7,3.65,Work sample evidence recorded against the controlled scoring key
INT-2026-0054,CAND-2026-0014,REQ-2026-ENG-G4,Structured Interview A,APD-INT-054,Hiring Manager,2026-02-01,2026-02-02,14.0,Yes,3.4,3.5,4.0,3.7,3.65,Behavioral evidence mapped to published BARS anchors
INT-2026-0055,CAND-2026-0014,REQ-2026-ENG-G4,Structured Interview B,APD-INT-055,Cross-functional Panelist,2026-02-03,2026-02-06,50.0,No,3.4,3.5,4.0,3.7,3.65,Independent follow-up evidence locked before panel release
INT-2026-0056,CAND-2026-0014,REQ-2026-ENG-G4,Calibration Review,APD-INT-056,Talent Acquisition Partner,2026-02-05,2026-02-08,57.0,No,3.4,3.5,4.0,3.7,3.65,Composite and decision evidence reviewed in calibration
INT-2026-0057,CAND-2026-0015,REQ-2026-ENG-G4,Work Sample Review,APD-INT-057,Technical Assessor,2026-01-24,2026-01-27,64.0,No,3.7,4.0,3.7,3.9,3.83,Work sample evidence recorded against the controlled scoring key
INT-2026-0058,CAND-2026-0015,REQ-2026-ENG-G4,Structured Interview A,APD-INT-058,Hiring Manager,2026-01-26,2026-01-29,71.0,No,3.7,4.0,3.7,3.9,3.83,Behavioral evidence mapped to published BARS anchors
INT-2026-0059,CAND-2026-0015,REQ-2026-ENG-G4,Structured Interview B,APD-INT-059,Cross-functional Panelist,2026-01-28,2026-01-30,32.0,Yes,3.7,4.0,3.7,3.9,3.83,Independent follow-up evidence locked before panel release
INT-2026-0060,CAND-2026-0015,REQ-2026-ENG-G4,Calibration Review,APD-INT-060,Talent Acquisition Partner,2026-01-30,2026-02-01,43.0,Yes,3.7,4.0,3.7,3.9,3.83,Composite and decision evidence reviewed in calibration
INT-2026-0061,CAND-2026-0016,REQ-2026-ENG-G4,Work Sample Review,APD-INT-001,Technical Assessor,2026-01-31,2026-02-01,17.0,Yes,4.0,3.4,3.4,4.1,3.73,Work sample evidence recorded against the controlled scoring key
INT-2026-0062,CAND-2026-0016,REQ-2026-ENG-G4,Structured Interview A,APD-INT-002,Hiring Manager,2026-02-02,2026-02-04,28.0,Yes,4.0,3.4,3.4,4.1,3.73,Behavioral evidence mapped to published BARS anchors
INT-2026-0063,CAND-2026-0016,REQ-2026-ENG-G4,Structured Interview B,APD-INT-003,Cross-functional Panelist,2026-02-04,2026-02-06,39.0,Yes,4.0,3.4,3.4,4.1,3.73,Independent follow-up evidence locked before panel release
INT-2026-0064,CAND-2026-0016,REQ-2026-ENG-G4,Calibration Review,APD-INT-004,Talent Acquisition Partner,2026-02-06,2026-02-07,13.0,Yes,4.0,3.4,3.4,4.1,3.73,Composite and decision evidence reviewed in calibration
INT-2026-0065,CAND-2026-0017,REQ-2026-ENG-G4,Work Sample Review,APD-INT-005,Technical Assessor,2026-01-25,2026-01-26,24.0,Yes,3.3,3.9,4.1,3.2,3.63,Work sample evidence recorded against the controlled scoring key
INT-2026-0066,CAND-2026-0017,REQ-2026-ENG-G4,Structured Interview A,APD-INT-006,Hiring Manager,2026-01-27,2026-01-29,35.0,Yes,3.3,3.9,4.1,3.2,3.63,Behavioral evidence mapped to published BARS anchors
INT-2026-0067,CAND-2026-0017,REQ-2026-ENG-G4,Structured Interview B,APD-INT-007,Cross-functional Panelist,2026-01-29,2026-01-31,46.0,Yes,3.3,3.9,4.1,3.2,3.63,Independent follow-up evidence locked before panel release
INT-2026-0068,CAND-2026-0017,REQ-2026-ENG-G4,Calibration Review,APD-INT-008,Talent Acquisition Partner,2026-01-31,2026-02-01,20.0,Yes,3.3,3.9,4.1,3.2,3.63,Composite and decision evidence reviewed in calibration
INT-2026-0069,CAND-2026-0018,REQ-2026-ENG-G4,Work Sample Review,APD-INT-009,Technical Assessor,2026-02-01,2026-02-03,31.0,Yes,3.6,3.3,3.8,3.4,3.53,Work sample evidence recorded against the controlled scoring key
INT-2026-0070,CAND-2026-0018,REQ-2026-ENG-G4,Structured Interview A,APD-INT-010,Hiring Manager,2026-02-03,2026-02-05,42.0,Yes,3.6,3.3,3.8,3.4,3.53,Behavioral evidence mapped to published BARS anchors
INT-2026-0071,CAND-2026-0018,REQ-2026-ENG-G4,Structured Interview B,APD-INT-011,Cross-functional Panelist,2026-02-05,2026-02-06,16.0,Yes,3.6,3.3,3.8,3.4,3.53,Independent follow-up evidence locked before panel release
INT-2026-0072,CAND-2026-0018,REQ-2026-ENG-G4,Calibration Review,APD-INT-012,Talent Acquisition Partner,2026-02-07,2026-02-09,27.0,Yes,3.6,3.3,3.8,3.4,3.53,Composite and decision evidence reviewed in calibration
INT-2026-0073,CAND-2026-0019,REQ-2026-ENG-G4,Work Sample Review,APD-INT-013,Technical Assessor,2026-01-26,2026-01-28,38.0,Yes,3.9,3.8,3.5,3.6,3.70,Work sample evidence recorded against the controlled scoring key
INT-2026-0074,CAND-2026-0019,REQ-2026-ENG-G4,Structured Interview A,APD-INT-014,Hiring Manager,2026-01-28,2026-01-29,12.0,Yes,3.9,3.8,3.5,3.6,3.70,Behavioral evidence mapped to published BARS anchors
INT-2026-0075,CAND-2026-0019,REQ-2026-ENG-G4,Structured Interview B,APD-INT-015,Cross-functional Panelist,2026-01-30,2026-01-31,23.0,Yes,3.9,3.8,3.5,3.6,3.70,Independent follow-up evidence locked before panel release
INT-2026-0076,CAND-2026-0019,REQ-2026-ENG-G4,Calibration Review,APD-INT-016,Talent Acquisition Partner,2026-02-01,2026-02-03,34.0,Yes,3.9,3.8,3.5,3.6,3.70,Composite and decision evidence reviewed in calibration
INT-2026-0077,CAND-2026-0020,REQ-2026-ENG-G4,Work Sample Review,APD-INT-017,Technical Assessor,2026-02-02,2026-02-04,45.0,Yes,3.2,3.2,3.2,3.8,3.35,Work sample evidence recorded against the controlled scoring key
INT-2026-0078,CAND-2026-0020,REQ-2026-ENG-G4,Structured Interview A,APD-INT-018,Hiring Manager,2026-02-04,2026-02-05,19.0,Yes,3.2,3.2,3.2,3.8,3.35,Behavioral evidence mapped to published BARS anchors
INT-2026-0079,CAND-2026-0020,REQ-2026-ENG-G4,Structured Interview B,APD-INT-019,Cross-functional Panelist,2026-02-06,2026-02-08,30.0,Yes,3.2,3.2,3.2,3.8,3.35,Independent follow-up evidence locked before panel release
INT-2026-0080,CAND-2026-0020,REQ-2026-ENG-G4,Calibration Review,APD-INT-020,Talent Acquisition Partner,2026-02-08,2026-02-10,41.0,Yes,3.2,3.2,3.2,3.8,3.35,Composite and decision evidence reviewed in calibration
INT-2026-0081,CAND-2026-0021,REQ-2026-ENG-G4,Work Sample Review,APD-INT-021,Technical Assessor,2026-01-27,2026-01-28,15.0,Yes,3.5,3.7,3.9,4.0,3.78,Work sample evidence recorded against the controlled scoring key
INT-2026-0082,CAND-2026-0021,REQ-2026-ENG-G4,Structured Interview A,APD-INT-022,Hiring Manager,2026-01-29,2026-01-31,26.0,Yes,3.5,3.7,3.9,4.0,3.78,Behavioral evidence mapped to published BARS anchors
INT-2026-0083,CAND-2026-0021,REQ-2026-ENG-G4,Structured Interview B,APD-INT-023,Cross-functional Panelist,2026-01-31,2026-02-02,37.0,Yes,3.5,3.7,3.9,4.0,3.78,Independent follow-up evidence locked before panel release
INT-2026-0084,CAND-2026-0021,REQ-2026-ENG-G4,Calibration Review,APD-INT-024,Talent Acquisition Partner,2026-02-02,2026-02-04,48.0,Yes,3.5,3.7,3.9,4.0,3.78,Composite and decision evidence reviewed in calibration
INT-2026-0085,CAND-2026-0022,REQ-2026-ENG-G4,Work Sample Review,APD-INT-025,Technical Assessor,2026-02-03,2026-02-04,22.0,Yes,3.8,3.1,3.6,3.1,3.40,Work sample evidence recorded against the controlled scoring key
INT-2026-0086,CAND-2026-0022,REQ-2026-ENG-G4,Structured Interview A,APD-INT-026,Hiring Manager,2026-02-05,2026-02-07,33.0,Yes,3.8,3.1,3.6,3.1,3.40,Behavioral evidence mapped to published BARS anchors
INT-2026-0087,CAND-2026-0022,REQ-2026-ENG-G4,Structured Interview B,APD-INT-027,Cross-functional Panelist,2026-02-07,2026-02-09,44.0,Yes,3.8,3.1,3.6,3.1,3.40,Independent follow-up evidence locked before panel release
INT-2026-0088,CAND-2026-0022,REQ-2026-ENG-G4,Calibration Review,APD-INT-028,Talent Acquisition Partner,2026-02-09,2026-02-10,18.0,Yes,3.8,3.1,3.6,3.1,3.40,Composite and decision evidence reviewed in calibration
INT-2026-0089,CAND-2026-0023,REQ-2026-ENG-G4,Work Sample Review,APD-INT-029,Technical Assessor,2026-01-28,2026-01-30,29.0,Yes,4.1,3.6,3.3,3.3,3.58,Work sample evidence recorded against the controlled scoring key
INT-2026-0090,CAND-2026-0023,REQ-2026-ENG-G4,Structured Interview A,APD-INT-030,Hiring Manager,2026-01-30,2026-02-01,40.0,Yes,4.1,3.6,3.3,3.3,3.58,Behavioral evidence mapped to published BARS anchors
INT-2026-0091,CAND-2026-0023,REQ-2026-ENG-G4,Structured Interview B,APD-INT-031,Cross-functional Panelist,2026-02-01,2026-02-02,14.0,Yes,4.1,3.6,3.3,3.3,3.58,Independent follow-up evidence locked before panel release
INT-2026-0092,CAND-2026-0023,REQ-2026-ENG-G4,Calibration Review,APD-INT-032,Talent Acquisition Partner,2026-02-03,2026-02-05,25.0,Yes,4.1,3.6,3.3,3.3,3.58,Composite and decision evidence reviewed in calibration
INT-2026-0093,CAND-2026-0024,REQ-2026-ENG-G4,Work Sample Review,APD-INT-033,Technical Assessor,2026-02-04,2026-02-06,36.0,Yes,3.4,4.1,4.0,3.5,3.75,Work sample evidence recorded against the controlled scoring key
INT-2026-0094,CAND-2026-0024,REQ-2026-ENG-G4,Structured Interview A,APD-INT-034,Hiring Manager,2026-02-06,2026-02-08,47.0,Yes,3.4,4.1,4.0,3.5,3.75,Behavioral evidence mapped to published BARS anchors
INT-2026-0095,CAND-2026-0024,REQ-2026-ENG-G4,Structured Interview B,APD-INT-035,Cross-functional Panelist,2026-02-08,2026-02-09,21.0,Yes,3.4,4.1,4.0,3.5,3.75,Independent follow-up evidence locked before panel release
INT-2026-0096,CAND-2026-0024,REQ-2026-ENG-G4,Calibration Review,APD-INT-036,Talent Acquisition Partner,2026-02-10,2026-02-12,32.0,Yes,3.4,4.1,4.0,3.5,3.75,Composite and decision evidence reviewed in calibration
INT-2026-0097,CAND-2026-0025,REQ-2026-ENG-G4,Work Sample Review,APD-INT-037,Technical Assessor,2026-01-29,2026-01-31,43.0,Yes,3.7,3.5,3.7,3.7,3.65,Work sample evidence recorded against the controlled scoring key
INT-2026-0098,CAND-2026-0025,REQ-2026-ENG-G4,Structured Interview A,APD-INT-038,Hiring Manager,2026-01-31,2026-02-01,17.0,Yes,3.7,3.5,3.7,3.7,3.65,Behavioral evidence mapped to published BARS anchors
INT-2026-0099,CAND-2026-0025,REQ-2026-ENG-G4,Structured Interview B,APD-INT-039,Cross-functional Panelist,2026-02-02,2026-02-04,28.0,Yes,3.7,3.5,3.7,3.7,3.65,Independent follow-up evidence locked before panel release
INT-2026-0100,CAND-2026-0025,REQ-2026-ENG-G4,Calibration Review,APD-INT-040,Talent Acquisition Partner,2026-02-04,2026-02-06,39.0,Yes,3.7,3.5,3.7,3.7,3.65,Composite and decision evidence reviewed in calibration
INT-2026-0101,CAND-2026-0026,REQ-2026-ENG-G4,Work Sample Review,APD-INT-041,Technical Assessor,2026-01-23,2026-01-24,13.0,Yes,4.0,4.0,3.4,3.9,3.83,Work sample evidence recorded against the controlled scoring key
INT-2026-0102,CAND-2026-0026,REQ-2026-ENG-G4,Structured Interview A,APD-INT-042,Hiring Manager,2026-01-25,2026-01-26,24.0,Yes,4.0,4.0,3.4,3.9,3.83,Behavioral evidence mapped to published BARS anchors
INT-2026-0103,CAND-2026-0026,REQ-2026-ENG-G4,Structured Interview B,APD-INT-043,Cross-functional Panelist,2026-01-27,2026-01-29,35.0,Yes,4.0,4.0,3.4,3.9,3.83,Independent follow-up evidence locked before panel release
INT-2026-0104,CAND-2026-0026,REQ-2026-ENG-G4,Calibration Review,APD-INT-044,Talent Acquisition Partner,2026-01-29,2026-01-31,46.0,Yes,4.0,4.0,3.4,3.9,3.83,Composite and decision evidence reviewed in calibration
INT-2026-0105,CAND-2026-0027,REQ-2026-ENG-G4,Work Sample Review,APD-INT-045,Technical Assessor,2026-01-30,2026-01-31,20.0,Yes,3.3,3.4,4.1,4.1,3.73,Work sample evidence recorded against the controlled scoring key
INT-2026-0106,CAND-2026-0027,REQ-2026-ENG-G4,Structured Interview A,APD-INT-046,Hiring Manager,2026-02-01,2026-02-03,31.0,Yes,3.3,3.4,4.1,4.1,3.73,Behavioral evidence mapped to published BARS anchors
INT-2026-0107,CAND-2026-0027,REQ-2026-ENG-G4,Structured Interview B,APD-INT-047,Cross-functional Panelist,2026-02-03,2026-02-05,42.0,Yes,3.3,3.4,4.1,4.1,3.73,Independent follow-up evidence locked before panel release
INT-2026-0108,CAND-2026-0027,REQ-2026-ENG-G4,Calibration Review,APD-INT-048,Talent Acquisition Partner,2026-02-05,2026-02-06,16.0,Yes,3.3,3.4,4.1,4.1,3.73,Composite and decision evidence reviewed in calibration
INT-2026-0109,CAND-2026-0028,REQ-2026-ENG-G4,Work Sample Review,APD-INT-049,Technical Assessor,2026-01-24,2026-01-27,68.0,No,3.6,3.9,3.8,3.2,3.63,Work sample evidence recorded against the controlled scoring key
INT-2026-0110,CAND-2026-0028,REQ-2026-ENG-G4,Structured Interview A,APD-INT-050,Hiring Manager,2026-01-26,2026-01-29,51.0,No,3.6,3.9,3.8,3.2,3.63,Behavioral evidence mapped to published BARS anchors
INT-2026-0111,CAND-2026-0028,REQ-2026-ENG-G4,Structured Interview B,APD-INT-051,Cross-functional Panelist,2026-01-28,2026-01-31,58.0,No,3.6,3.9,3.8,3.2,3.63,Independent follow-up evidence locked before panel release
INT-2026-0112,CAND-2026-0028,REQ-2026-ENG-G4,Calibration Review,APD-INT-052,Talent Acquisition Partner,2026-01-30,2026-02-02,65.0,No,3.6,3.9,3.8,3.2,3.63,Composite and decision evidence reviewed in calibration
INT-2026-0113,CAND-2026-0029,REQ-2026-ENG-G4,Work Sample Review,APD-INT-053,Technical Assessor,2026-01-31,2026-02-02,34.0,Yes,3.9,3.3,3.5,3.4,3.53,Work sample evidence recorded against the controlled scoring key
INT-2026-0114,CAND-2026-0029,REQ-2026-ENG-G4,Structured Interview A,APD-INT-054,Hiring Manager,2026-02-02,2026-02-04,45.0,Yes,3.9,3.3,3.5,3.4,3.53,Behavioral evidence mapped to published BARS anchors
INT-2026-0115,CAND-2026-0029,REQ-2026-ENG-G4,Structured Interview B,APD-INT-055,Cross-functional Panelist,2026-02-04,2026-02-05,19.0,Yes,3.9,3.3,3.5,3.4,3.53,Independent follow-up evidence locked before panel release
