Candidate_ID,Full_Name,Gender,Demographic_Cohort,Requisition_ID,Applied_Date,Source_Channel,Current_Stage,Disposition_Reason,Resume_Screen_Score,Phone_Screen_Score,Work_Sample_Score,Structured_Interview_Score,Job_Knowledge_Score,Composite_Score,Subjective_Impression_Score,Bias_Variance_Gap,Offer_Extended,Offer_Accepted,Hired_Date
CAND-2026-0023,Synthetic Candidate 0023,Male,Reference Group,REQ-2026-ENG-G4,2026-01-10,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,4.10,4.50,3.70,3.58,3.60,3.63,3.73,0.10,No,No,
CAND-2026-0024,Synthetic Candidate 0024,Female,Focal Group,REQ-2026-ENG-G4,2026-01-17,Employee Referral,Interview Complete,Composite below requisition threshold,3.40,4.00,4.20,3.75,3.10,3.80,3.80,0.00,No,No,
CAND-2026-0025,Synthetic Candidate 0025,Female,Focal Group,REQ-2026-ENG-G4,2026-01-11,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,4.10,3.50,3.60,3.65,3.80,3.66,3.56,-0.10,No,No,
CAND-2026-0026,Synthetic Candidate 0026,Male,Reference Group,REQ-2026-ENG-G4,2026-01-05,Skills Academy,Interview Complete,Composite below requisition threshold,3.40,4.60,4.10,3.83,3.30,3.83,3.63,-0.20,No,No,
CAND-2026-0027,Synthetic Candidate 0027,Male,Reference Group,REQ-2026-ENG-G4,2026-01-12,Direct Career Portal,Interview Complete,Composite below requisition threshold,4.10,4.10,3.50,3.73,4.00,3.69,3.39,-0.30,No,No,
CAND-2026-0028,Synthetic Candidate 0028,Male,Reference Group,REQ-2026-ENG-G4,2026-01-06,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,3.40,3.60,4.00,3.63,3.50,3.75,4.25,0.50,No,No,
CAND-2026-0029,Synthetic Candidate 0029,Female,Focal Group,REQ-2026-ENG-G4,2026-01-13,Employee Referral,Interview Complete,Composite below requisition threshold,4.10,4.70,3.40,3.53,4.20,3.61,4.01,0.40,No,No,
CAND-2026-0030,Synthetic Candidate 0030,Female,Focal Group,REQ-2026-ENG-G4,2026-01-07,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,3.40,4.20,3.90,3.45,3.70,3.68,3.98,0.30,No,No,
CAND-2026-0031,Synthetic Candidate 0031,Male,Reference Group,REQ-2026-ENG-G4,2026-01-14,Skills Academy,Interview Complete,Composite below requisition threshold,4.10,3.70,3.30,3.60,3.20,3.40,3.60,0.20,No,No,
CAND-2026-0032,Synthetic Candidate 0032,Male,Reference Group,REQ-2026-ENG-G4,2026-01-08,Direct Career Portal,Interview Complete,Composite below requisition threshold,3.40,3.20,3.80,3.78,3.90,3.81,3.91,0.10,No,No,
CAND-2026-0033,Synthetic Candidate 0033,Male,Reference Group,REQ-2026-ENG-G4,2026-01-15,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,4.10,4.30,3.20,3.40,3.40,3.32,3.32,0.00,No,No,
CAND-2026-0034,Synthetic Candidate 0034,Female,Focal Group,REQ-2026-ENG-G4,2026-01-09,Employee Referral,Interview Complete,Composite below requisition threshold,3.40,3.80,3.70,3.58,4.10,3.73,3.63,-0.10,No,No,
CAND-2026-0035,Synthetic Candidate 0035,Female,Focal Group,REQ-2026-ENG-G4,2026-01-16,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,4.10,3.30,4.20,3.75,3.60,3.90,3.70,-0.20,No,No,
CAND-2026-0036,Synthetic Candidate 0036,Male,Reference Group,REQ-2026-ENG-G4,2026-01-10,Skills Academy,Interview Complete,Composite below requisition threshold,3.40,4.40,3.60,3.65,3.10,3.52,3.22,-0.30,No,No,
CAND-2026-0037,Synthetic Candidate 0037,Male,Reference Group,REQ-2026-ENG-G4,2026-01-17,Direct Career Portal,Interview Complete,Composite below requisition threshold,4.10,3.90,4.10,3.83,3.80,3.93,4.43,0.50,No,No,
CAND-2026-0038,Synthetic Candidate 0038,Male,Reference Group,REQ-2026-ENG-G4,2026-01-11,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,3.40,3.40,3.50,3.73,3.30,3.55,3.95,0.40,No,No,
CAND-2026-0039,Synthetic Candidate 0039,Female,Focal Group,REQ-2026-ENG-G4,2026-01-05,Employee Referral,Interview Complete,Composite below requisition threshold,4.10,4.50,4.00,3.63,4.00,3.85,4.15,0.30,No,No,
CAND-2026-0040,Synthetic Candidate 0040,Female,Focal Group,REQ-2026-ENG-G4,2026-01-12,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,3.40,4.00,3.40,3.28,3.50,3.37,3.57,0.20,No,No,
CAND-2026-0041,Synthetic Candidate 0041,Male,Reference Group,REQ-2026-ENG-G4,2026-01-06,Skills Academy,Interview Complete,Composite below requisition threshold,4.10,3.50,3.90,3.70,4.20,3.88,3.98,0.10,No,No,
CAND-2026-0042,Synthetic Candidate 0042,Male,Reference Group,REQ-2026-ENG-G4,2026-01-13,Direct Career Portal,Interview Complete,Composite below requisition threshold,3.40,4.60,3.30,3.60,3.70,3.50,3.50,0.00,No,No,
CAND-2026-0043,Synthetic Candidate 0043,Male,Reference Group,REQ-2026-ENG-G4,2026-01-07,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,4.10,4.10,3.80,3.78,3.20,3.67,3.57,-0.10,No,No,
CAND-2026-0044,Synthetic Candidate 0044,Female,Focal Group,REQ-2026-ENG-G4,2026-01-14,Employee Referral,Interview Complete,Composite below requisition threshold,3.40,3.60,3.20,3.40,3.90,3.42,3.22,-0.20,No,No,
CAND-2026-0045,Synthetic Candidate 0045,Female,Focal Group,REQ-2026-ENG-G4,2026-01-08,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,4.10,4.70,3.70,3.58,3.40,3.59,3.29,-0.30,No,No,
CAND-2026-0046,Synthetic Candidate 0046,Male,Reference Group,REQ-2026-ENG-G4,2026-01-15,Skills Academy,Interview Complete,Composite below requisition threshold,3.40,4.20,4.20,3.75,4.10,4.00,4.50,0.50,No,No,
CAND-2026-0047,Synthetic Candidate 0047,Male,Reference Group,REQ-2026-ENG-G4,2026-01-09,Direct Career Portal,Interview Complete,Composite below requisition threshold,4.10,3.70,3.60,3.65,3.60,3.62,4.02,0.40,No,No,
CAND-2026-0048,Synthetic Candidate 0048,Male,Reference Group,REQ-2026-ENG-G4,2026-01-16,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,3.40,3.20,4.10,3.83,3.10,3.79,4.09,0.30,No,No,
CAND-2026-0049,Synthetic Candidate 0049,Female,Focal Group,REQ-2026-ENG-G4,2026-01-10,Employee Referral,Interview Complete,Composite below requisition threshold,4.10,4.30,3.50,3.73,3.80,3.65,3.85,0.20,No,No,
CAND-2026-0050,Synthetic Candidate 0050,Female,Focal Group,REQ-2026-ENG-G4,2026-01-17,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,3.40,3.80,4.00,3.38,3.30,3.61,3.71,0.10,No,No,
CAND-2026-0051,Synthetic Candidate 0051,Male,Reference Group,REQ-2026-ENG-G4,2026-01-11,Skills Academy,Interview Complete,Composite below requisition threshold,4.10,3.30,3.40,3.53,4.00,3.57,3.57,0.00,No,No,
CAND-2026-0052,Synthetic Candidate 0052,Male,Reference Group,REQ-2026-ENG-G4,2026-01-05,Direct Career Portal,Interview Complete,Composite below requisition threshold,3.40,4.40,3.90,3.70,3.50,3.74,3.64,-0.10,No,No,
CAND-2026-0053,Synthetic Candidate 0053,Male,Reference Group,REQ-2026-ENG-G4,2026-01-12,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,4.10,3.90,3.30,3.60,4.20,3.60,3.40,-0.20,No,No,
CAND-2026-0054,Synthetic Candidate 0054,Female,Focal Group,REQ-2026-ENG-G4,2026-01-06,Employee Referral,Interview Complete,Composite below requisition threshold,3.40,3.40,3.80,3.78,3.70,3.77,3.47,-0.30,No,No,
CAND-2026-0055,Synthetic Candidate 0055,Female,Focal Group,REQ-2026-ENG-G4,2026-01-13,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,4.10,4.50,3.20,3.40,3.20,3.28,3.78,0.50,No,No,
CAND-2026-0056,Synthetic Candidate 0056,Male,Reference Group,REQ-2026-ENG-G4,2026-01-07,Skills Academy,Interview Complete,Composite below requisition threshold,3.40,4.00,3.70,3.58,3.90,3.69,4.09,0.40,No,No,
CAND-2026-0057,Synthetic Candidate 0057,Male,Reference Group,REQ-2026-ENG-G4,2026-01-14,Direct Career Portal,Interview Complete,Composite below requisition threshold,4.10,3.50,4.20,3.75,3.40,3.86,4.16,0.30,No,No,
CAND-2026-0058,Synthetic Candidate 0058,Male,Reference Group,REQ-2026-ENG-G4,2026-01-08,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,3.40,4.60,3.60,3.65,4.10,3.72,3.92,0.20,No,No,
CAND-2026-0059,Synthetic Candidate 0059,Female,Focal Group,REQ-2026-ENG-G4,2026-01-15,Employee Referral,Interview Complete,Composite below requisition threshold,4.10,4.10,4.10,3.83,3.60,3.89,3.99,0.10,No,No,
CAND-2026-0060,Synthetic Candidate 0060,Female,Focal Group,REQ-2026-ENG-G4,2026-01-09,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,3.40,3.60,3.50,3.48,3.10,3.41,3.41,0.00,No,No,
CAND-2026-0061,Synthetic Candidate 0061,Male,Reference Group,REQ-2026-ENG-G4,2026-01-16,Skills Academy,Interview Complete,Composite below requisition threshold,4.10,4.70,4.00,3.63,3.80,3.81,3.71,-0.10,No,No,
CAND-2026-0062,Synthetic Candidate 0062,Male,Reference Group,REQ-2026-ENG-G4,2026-01-10,Direct Career Portal,Interview Complete,Composite below requisition threshold,3.40,4.20,3.40,3.53,3.30,3.43,3.23,-0.20,No,No,
CAND-2026-0063,Synthetic Candidate 0063,Male,Reference Group,REQ-2026-ENG-G4,2026-01-17,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,4.10,3.70,3.90,3.70,4.00,3.84,3.54,-0.30,No,No,
CAND-2026-0064,Synthetic Candidate 0064,Female,Focal Group,REQ-2026-ENG-G4,2026-01-11,Employee Referral,Interview Complete,Composite below requisition threshold,3.40,3.20,3.30,3.60,3.50,3.46,3.96,0.50,No,No,
CAND-2026-0065,Synthetic Candidate 0065,Female,Focal Group,REQ-2026-ENG-G4,2026-01-05,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,4.10,4.30,3.80,3.78,4.20,3.87,4.27,0.40,No,No,
CAND-2026-0066,Synthetic Candidate 0066,Male,Reference Group,REQ-2026-ENG-G4,2026-01-12,Skills Academy,Interview Complete,Composite below requisition threshold,3.40,3.80,3.20,3.40,3.70,3.38,3.68,0.30,No,No,
CAND-2026-0067,Synthetic Candidate 0067,Male,Reference Group,REQ-2026-ENG-G4,2026-01-06,Direct Career Portal,Interview Complete,Composite below requisition threshold,4.10,3.30,3.70,3.58,3.20,3.55,3.75,0.20,No,No,
CAND-2026-0068,Synthetic Candidate 0068,Male,Reference Group,REQ-2026-ENG-G4,2026-01-13,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,3.40,4.40,4.20,3.75,3.90,3.96,4.06,0.10,No,No,
CAND-2026-0069,Synthetic Candidate 0069,Female,Focal Group,REQ-2026-ENG-G4,2026-01-07,Employee Referral,Interview Complete,Composite below requisition threshold,4.10,3.90,3.60,3.65,3.40,3.58,3.58,0.00,No,No,
CAND-2026-0070,Synthetic Candidate 0070,Female,Focal Group,REQ-2026-ENG-G4,2026-01-14,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,3.40,3.40,4.10,3.58,4.10,3.89,3.79,-0.10,No,No,
CAND-2026-0071,Synthetic Candidate 0071,Male,Reference Group,REQ-2026-ENG-G4,2026-01-08,Skills Academy,Interview Complete,Composite below requisition threshold,4.10,4.50,3.50,3.73,3.60,3.61,3.41,-0.20,No,No,
CAND-2026-0072,Synthetic Candidate 0072,Male,Reference Group,REQ-2026-ENG-G4,2026-01-15,Direct Career Portal,Interview Complete,Composite below requisition threshold,3.40,4.00,4.00,3.63,3.10,3.67,3.37,-0.30,No,No,
CAND-2026-0073,Synthetic Candidate 0073,Male,Reference Group,REQ-2026-ENG-G4,2026-01-09,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,4.10,3.50,3.40,3.53,3.80,3.53,4.03,0.50,No,No,
CAND-2026-0074,Synthetic Candidate 0074,Female,Focal Group,REQ-2026-ENG-G4,2026-01-16,Employee Referral,Interview Complete,Composite below requisition threshold,3.40,4.60,3.90,3.70,3.30,3.70,4.10,0.40,No,No,
CAND-2026-0075,Synthetic Candidate 0075,Female,Focal Group,REQ-2026-ENG-G4,2026-01-10,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,4.10,4.10,3.30,3.60,4.00,3.56,3.86,0.30,No,No,
CAND-2026-0076,Synthetic Candidate 0076,Male,Reference Group,REQ-2026-ENG-G4,2026-01-17,Skills Academy,Interview Complete,Composite below requisition threshold,3.40,3.60,3.80,3.78,3.50,3.73,3.93,0.20,No,No,
CAND-2026-0077,Synthetic Candidate 0077,Male,Reference Group,REQ-2026-ENG-G4,2026-01-11,Direct Career Portal,Interview Complete,Composite below requisition threshold,4.10,4.70,3.20,3.40,4.20,3.48,3.58,0.10,No,No,
CAND-2026-0078,Synthetic Candidate 0078,Male,Reference Group,REQ-2026-ENG-G4,2026-01-05,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,3.40,4.20,3.70,3.58,3.70,3.65,3.65,0.00,No,No,
CAND-2026-0079,Synthetic Candidate 0079,Female,Focal Group,REQ-2026-ENG-G4,2026-01-12,Employee Referral,Interview Complete,Composite below requisition threshold,4.10,3.70,4.20,3.75,3.20,3.82,3.72,-0.10,No,No,
CAND-2026-0080,Synthetic Candidate 0080,Female,Focal Group,REQ-2026-ENG-G4,2026-01-06,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,3.40,3.20,3.60,3.40,3.90,3.58,3.38,-0.20,No,No,
CAND-2026-0081,Synthetic Candidate 0081,Male,Reference Group,REQ-2026-ENG-G4,2026-01-13,Skills Academy,Interview Complete,Composite below requisition threshold,4.10,4.30,4.10,3.83,3.40,3.85,3.55,-0.30,No,No,
CAND-2026-0082,Synthetic Candidate 0082,Male,Reference Group,REQ-2026-ENG-G4,2026-01-07,Direct Career Portal,Interview Complete,Composite below requisition threshold,3.40,3.80,3.50,3.73,4.10,3.71,4.21,0.50,No,No,
CAND-2026-0083,Synthetic Candidate 0083,Male,Reference Group,REQ-2026-ENG-G4,2026-01-14,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,4.10,3.30,4.00,3.63,3.60,3.77,4.17,0.40,No,No,
CAND-2026-0084,Synthetic Candidate 0084,Female,Focal Group,REQ-2026-ENG-G4,2026-01-08,Employee Referral,Interview Complete,Composite below requisition threshold,3.40,4.40,3.40,3.53,3.10,3.39,3.69,0.30,No,No,
CAND-2026-0085,Synthetic Candidate 0085,Female,Focal Group,REQ-2026-ENG-G4,2026-01-15,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,4.10,3.90,3.90,3.70,3.80,3.80,4.00,0.20,No,No,
CAND-2026-0086,Synthetic Candidate 0086,Male,Reference Group,REQ-2026-ENG-G4,2026-01-09,Skills Academy,Interview Complete,Composite below requisition threshold,3.40,3.40,3.30,3.60,3.30,3.42,3.52,0.10,No,No,
CAND-2026-0087,Synthetic Candidate 0087,Male,Reference Group,REQ-2026-ENG-G4,2026-01-16,Direct Career Portal,Interview Complete,Composite below requisition threshold,4.10,4.50,3.80,3.78,4.00,3.83,3.83,0.00,No,No,
CAND-2026-0088,Synthetic Candidate 0088,Male,Reference Group,REQ-2026-ENG-G4,2026-01-10,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,3.40,4.00,3.20,3.40,3.50,3.34,3.24,-0.10,No,No,
CAND-2026-0089,Synthetic Candidate 0089,Female,Focal Group,REQ-2026-ENG-G4,2026-01-17,Employee Referral,Interview Complete,Composite below requisition threshold,4.10,3.50,3.70,3.58,4.20,3.75,3.55,-0.20,No,No,
CAND-2026-0090,Synthetic Candidate 0090,Female,Focal Group,REQ-2026-ENG-G4,2026-01-11,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,3.40,4.60,4.20,3.50,3.70,3.82,3.52,-0.30,No,No,
CAND-2026-0091,Synthetic Candidate 0091,Male,Reference Group,REQ-2026-ENG-G4,2026-01-05,Skills Academy,Interview Complete,Composite below requisition threshold,4.10,4.10,3.60,3.65,3.20,3.54,4.04,0.50,No,No,
CAND-2026-0092,Synthetic Candidate 0092,Male,Reference Group,REQ-2026-ENG-G4,2026-01-12,Direct Career Portal,Interview Complete,Composite below requisition threshold,3.40,3.60,4.10,3.83,3.90,3.95,4.35,0.40,No,No,
CAND-2026-0093,Synthetic Candidate 0093,Male,Reference Group,REQ-2026-ENG-G4,2026-01-06,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,4.10,4.70,3.50,3.73,3.40,3.57,3.87,0.30,No,No,
CAND-2026-0094,Synthetic Candidate 0094,Female,Focal Group,REQ-2026-ENG-G4,2026-01-13,Employee Referral,Interview Complete,Composite below requisition threshold,3.40,4.20,4.00,3.63,4.10,3.87,4.07,0.20,No,No,
CAND-2026-0095,Synthetic Candidate 0095,Female,Focal Group,REQ-2026-ENG-G4,2026-01-07,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,4.10,3.70,3.40,3.53,3.60,3.49,3.59,0.10,No,No,
CAND-2026-0096,Synthetic Candidate 0096,Male,Reference Group,REQ-2026-ENG-G4,2026-01-14,Skills Academy,Interview Complete,Composite below requisition threshold,3.40,3.20,3.90,3.70,3.10,3.66,3.66,0.00,No,No,
CAND-2026-0097,Synthetic Candidate 0097,Male,Reference Group,REQ-2026-ENG-G4,2026-01-08,Direct Career Portal,Interview Complete,Composite below requisition threshold,4.10,4.30,3.30,3.60,3.80,3.52,3.42,-0.10,No,No,
CAND-2026-0098,Synthetic Candidate 0098,Male,Reference Group,REQ-2026-ENG-G4,2026-01-15,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,3.40,3.80,3.80,3.78,3.30,3.69,3.49,-0.20,No,No,
CAND-2026-0099,Synthetic Candidate 0099,Female,Focal Group,REQ-2026-ENG-G4,2026-01-09,Employee Referral,Interview Complete,Composite below requisition threshold,4.10,3.30,3.20,3.40,4.00,3.44,3.14,-0.30,No,No,
CAND-2026-0100,Synthetic Candidate 0100,Female,Focal Group,REQ-2026-ENG-G4,2026-01-16,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,3.40,4.40,3.70,3.33,3.50,3.51,4.01,0.50,No,No,
CAND-2026-0101,Synthetic Candidate 0101,Male,Reference Group,REQ-2026-ENG-G4,2026-01-10,Skills Academy,Shortlisted,Not advanced to standardized assessment,4.10,3.90,,,,,,,No,No,
CAND-2026-0102,Synthetic Candidate 0102,Male,Reference Group,REQ-2026-ENG-G4,2026-01-17,Direct Career Portal,Shortlisted,Not advanced to standardized assessment,3.40,3.40,,,,,,,No,No,
CAND-2026-0103,Synthetic Candidate 0103,Male,Reference Group,REQ-2026-ENG-G4,2026-01-11,Regional Hiring Drive,Shortlisted,Not advanced to standardized assessment,4.10,4.50,,,,,,,No,No,
CAND-2026-0104,Synthetic Candidate 0104,Female,Focal Group,REQ-2026-ENG-G4,2026-01-05,Employee Referral,Shortlisted,Not advanced to standardized assessment,3.40,4.00,,,,,,,No,No,
CAND-2026-0105,Synthetic Candidate 0105,Female,Focal Group,REQ-2026-ENG-G4,2026-01-12,LinkedIn Recruiter,Shortlisted,Not advanced to standardized assessment,4.10,3.50,,,,,,,No,No,
CAND-2026-0106,Synthetic Candidate 0106,Male,Reference Group,REQ-2026-ENG-G4,2026-01-06,Skills Academy,Shortlisted,Not advanced to standardized assessment,3.40,4.60,,,,,,,No,No,
CAND-2026-0107,Synthetic Candidate 0107,Male,Reference Group,REQ-2026-ENG-G4,2026-01-13,Direct Career Portal,Shortlisted,Not advanced to standardized assessment,4.10,4.10,,,,,,,No,No,
CAND-2026-0108,Synthetic Candidate 0108,Male,Reference Group,REQ-2026-ENG-G4,2026-01-07,Regional Hiring Drive,Shortlisted,Not advanced to standardized assessment,3.40,3.60,,,,,,,No,No,
CAND-2026-0109,Synthetic Candidate 0109,Female,Focal Group,REQ-2026-ENG-G4,2026-01-14,Employee Referral,Shortlisted,Not advanced to standardized assessment,4.10,4.70,,,,,,,No,No,
CAND-2026-0110,Synthetic Candidate 0110,Female,Focal Group,REQ-2026-ENG-G4,2026-01-08,LinkedIn Recruiter,Shortlisted,Not advanced to standardized assessment,3.40,4.20,,,,,,,No,No,
CAND-2026-0111,Synthetic Candidate 0111,Male,Reference Group,REQ-2026-ENG-G4,2026-01-15,Skills Academy,Shortlisted,Not advanced to standardized assessment,4.10,3.70,,,,,,,No,No,
CAND-2026-0112,Synthetic Candidate 0112,Male,Reference Group,REQ-2026-ENG-G4,2026-01-09,Direct Career Portal,Shortlisted,Not advanced to standardized assessment,3.40,3.20,,,,,,,No,No,
CAND-2026-0113,Synthetic Candidate 0113,Male,Reference Group,REQ-2026-ENG-G4,2026-01-16,Regional Hiring Drive,Shortlisted,Not advanced to standardized assessment,4.10,4.30,,,,,,,No,No,
CAND-2026-0114,Synthetic Candidate 0114,Female,Focal Group,REQ-2026-ENG-G4,2026-01-10,Employee Referral,Shortlisted,Not advanced to standardized assessment,3.40,3.80,,,,,,,No,No,
CAND-2026-0115,Synthetic Candidate 0115,Female,Focal Group,REQ-2026-ENG-G4,2026-01-17,LinkedIn Recruiter,Shortlisted,Not advanced to standardized assessment,4.10,3.30,,,,,,,No,No,
CAND-2026-0116,Synthetic Candidate 0116,Male,Reference Group,REQ-2026-ENG-G4,2026-01-11,Skills Academy,Shortlisted,Not advanced to standardized assessment,3.40,4.40,,,,,,,No,No,
CAND-2026-0117,Synthetic Candidate 0117,Male,Reference Group,REQ-2026-ENG-G4,2026-01-05,Direct Career Portal,Shortlisted,Not advanced to standardized assessment,4.10,3.90,,,,,,,No,No,
