Employee_ID,Department,Job_Family,Job_Level,Location,Gender,Workforce_Category,Employment_Type,Hire_Date,Exit_Date,Employment_Status,Monthly_Salary_AED,Band_Mid_AED,Compa_Ratio,Performance_Rating,Engagement_Score,Training_Hours_YTD,Absence_Days_YTD,Critical_Role,Regrettable_Exit
UAE-SYN-0038,Customer Experience,Customer Experience,L2,Dubai,Man,International,Permanent,2020-10-28,,Active,10500,10500,1.0,4,82,10,12,No,
UAE-SYN-0039,Finance,Finance,L3,Dubai,Man,International,Fixed-term,2018-02-01,2025-12-31,Exited,19400,21600,0.898,5,95,51,0,Yes,Yes
UAE-SYN-0040,Operations,Operations,L1,Dubai,Woman,International,Permanent,2021-09-08,,Active,6600,7200,0.917,3,96,46,2,No,
UAE-SYN-0041,Sales,Commercial,L2,Sharjah,Woman,International,Permanent,2022-02-14,,Active,12700,12700,1.0,4,79,22,8,No,
UAE-SYN-0042,Operations,Operations,L2,Abu Dhabi,Man,International,Permanent,2017-05-05,,Active,11200,11200,1.0,5,81,23,0,No,
UAE-SYN-0043,Operations,Operations,L2,Sharjah,Man,International,Permanent,2019-12-01,2025-12-24,Exited,10300,11200,0.92,4,58,21,9,Yes,Yes
UAE-SYN-0044,Technology,Technology,L3,Dubai,Woman,International,Permanent,2025-04-08,,Active,25000,27000,0.926,5,87,28,6,Yes,
UAE-SYN-0045,Operations,Operations,L2,Abu Dhabi,Man,International,Permanent,2020-10-06,,Active,9500,11200,0.848,3,62,13,4,No,
UAE-SYN-0046,Customer Experience,Customer Experience,L3,Dubai,Man,International,Permanent,2016-12-08,,Active,15400,16000,0.963,2,70,13,8,No,
UAE-SYN-0047,Technology,Technology,L3,Dubai,Man,UAE National,Permanent,2017-08-17,,Active,30200,27000,1.119,3,80,29,5,No,
UAE-SYN-0048,Sales,Commercial,L1,Dubai,Woman,International,Fixed-term,2017-03-14,,Active,7700,8200,0.939,3,51,53,6,No,
UAE-SYN-0049,Finance,Finance,L1,Abu Dhabi,Woman,International,Permanent,2024-11-25,,Active,9400,9200,1.022,4,69,16,10,No,
UAE-SYN-0050,Technology,Technology,L1,Sharjah,Man,UAE National,Permanent,2025-09-01,,Active,11800,11500,1.026,3,77,26,4,No,
UAE-SYN-0051,Sales,Commercial,L3,Dubai,Man,UAE National,Permanent,2020-02-08,,Active,19600,19300,1.016,3,64,8,6,No,
UAE-SYN-0052,Technology,Technology,L1,Dubai,Man,UAE National,Permanent,2021-06-08,,Active,11900,11500,1.035,1,70,34,9,No,
UAE-SYN-0053,Technology,Technology,L1,Abu Dhabi,Man,International,Permanent,2022-01-04,,Active,11400,11500,0.991,4,83,27,6,No,
UAE-SYN-0054,Technology,Technology,L1,Dubai,Man,UAE National,Permanent,2022-05-20,,Active,12000,11500,1.043,4,70,26,5,Yes,
UAE-SYN-0055,Sales,Commercial,L1,Dubai,Man,International,Permanent,2017-11-10,2024-09-20,Exited,7400,8200,0.902,3,68,47,8,No,No
UAE-SYN-0056,Operations,Operations,L2,Abu Dhabi,Woman,International,Permanent,2021-07-03,2024-12-25,Exited,10900,11200,0.973,5,96,35,3,No,Yes
UAE-SYN-0057,Sales,Commercial,L3,Dubai,Woman,International,Permanent,2026-02-06,,Active,17600,19300,0.912,3,61,18,9,No,
UAE-SYN-0058,Operations,Operations,L1,Dubai,Woman,International,Permanent,2018-03-19,2025-03-14,Exited,7500,7200,1.042,3,67,15,10,No,No
UAE-SYN-0059,Operations,Operations,L1,Dubai,Man,International,Permanent,2024-11-05,2025-04-12,Exited,7700,7200,1.069,4,77,7,2,No,Yes
UAE-SYN-0060,Operations,Operations,L1,Abu Dhabi,Man,International,Permanent,2018-04-15,,Active,8000,7200,1.111,5,84,62,7,No,
UAE-SYN-0061,Customer Experience,Customer Experience,L3,Dubai,Man,International,Permanent,2017-11-16,,Active,14900,16000,0.931,3,76,33,4,No,
UAE-SYN-0062,People & Culture,People & Culture,L3,Dubai,Man,International,Permanent,2020-10-14,,Active,18800,19700,0.954,4,83,57,0,Yes,
UAE-SYN-0063,Customer Experience,Customer Experience,L1,Dubai,Woman,International,Permanent,2019-05-31,,Active,7700,6800,1.132,3,74,23,9,No,
UAE-SYN-0064,People & Culture,People & Culture,L3,Dubai,Man,UAE National,Permanent,2023-09-15,,Active,18600,19700,0.944,4,94,18,4,No,
UAE-SYN-0065,Technology,Technology,L2,Abu Dhabi,Man,UAE National,Fixed-term,2024-04-01,2026-01-01,Exited,18700,17800,1.051,3,57,45,7,No,No
UAE-SYN-0066,Finance,Finance,L2,Sharjah,Man,International,Permanent,2019-01-31,,Active,13100,14300,0.916,4,77,39,0,No,
UAE-SYN-0067,Customer Experience,Customer Experience,L3,Abu Dhabi,Man,International,Permanent,2021-11-07,,Active,14600,16000,0.912,4,92,48,6,No,
UAE-SYN-0068,Operations,Operations,L2,Abu Dhabi,Woman,International,Permanent,2020-08-30,,Active,11400,11200,1.018,4,74,37,7,Yes,
UAE-SYN-0069,Customer Experience,Customer Experience,L1,Dubai,Woman,International,Permanent,2021-03-06,2025-11-18,Exited,6700,6800,0.985,4,67,11,5,No,Yes
UAE-SYN-0070,Customer Experience,Customer Experience,L2,Dubai,Woman,UAE National,Permanent,2022-11-10,,Active,10600,10500,1.01,1,58,19,5,No,
UAE-SYN-0071,Operations,Operations,L2,Abu Dhabi,Woman,International,Permanent,2022-05-14,,Active,9500,11200,0.848,5,96,28,7,No,
UAE-SYN-0072,People & Culture,People & Culture,L3,Dubai,Woman,International,Permanent,2021-04-15,2025-08-02,Exited,18500,19700,0.939,4,81,27,8,Yes,Yes
UAE-SYN-0073,Sales,Commercial,L2,Dubai,Man,International,Permanent,2024-02-16,,Active,13300,12700,1.047,3,63,33,4,No,
UAE-SYN-0074,People & Culture,People & Culture,L3,Dubai,Woman,International,Permanent,2018-11-27,,Active,20000,19700,1.015,3,72,30,1,No,
UAE-SYN-0075,Customer Experience,Customer Experience,L1,Sharjah,Woman,International,Permanent,2016-11-17,,Active,6200,6800,0.912,2,58,61,13,No,
UAE-SYN-0076,Customer Experience,Customer Experience,L1,Sharjah,Woman,International,Permanent,2025-05-10,,Active,6500,6800,0.956,4,73,16,5,No,
UAE-SYN-0077,Customer Experience,Customer Experience,L2,Abu Dhabi,Man,International,Permanent,2019-02-12,,Active,10400,10500,0.99,3,62,52,5,No,
UAE-SYN-0078,Sales,Commercial,L2,Dubai,Man,International,Permanent,2019-11-18,,Active,11500,12700,0.906,3,60,21,7,No,
UAE-SYN-0079,Technology,Technology,L2,Dubai,Man,International,Fixed-term,2023-12-21,,Active,18500,17800,1.039,3,69,28,5,No,
UAE-SYN-0080,Technology,Technology,L1,Sharjah,Man,International,Permanent,2024-03-15,,Active,12100,11500,1.052,2,63,17,1,No,
UAE-SYN-0081,Operations,Operations,L2,Abu Dhabi,Woman,International,Permanent,2016-04-12,,Active,10300,11200,0.92,5,73,35,8,No,
UAE-SYN-0082,Sales,Commercial,L3,Dubai,Woman,International,Permanent,2025-01-10,,Active,19900,19300,1.031,4,93,29,1,No,
UAE-SYN-0083,People & Culture,People & Culture,L2,Dubai,Man,International,Fixed-term,2020-12-11,2025-06-28,Exited,11400,13000,0.877,5,64,35,8,No,Yes
UAE-SYN-0084,People & Culture,People & Culture,L1,Dubai,Woman,International,Permanent,2025-07-14,2026-01-01,Exited,7000,8400,0.833,4,69,27,9,No,Yes
UAE-SYN-0085,Sales,Commercial,L4,Dubai,Man,International,Permanent,2021-08-05,,Active,27800,29100,0.955,3,79,21,9,No,
UAE-SYN-0086,Sales,Commercial,L2,Dubai,Man,UAE National,Permanent,2026-05-13,,Active,12000,12700,0.945,2,69,35,7,No,
UAE-SYN-0087,Technology,Technology,L2,Abu Dhabi,Man,International,Permanent,2022-09-05,,Active,18500,17800,1.039,2,65,18,6,No,
UAE-SYN-0088,Operations,Operations,L4,Dubai,Woman,International,Permanent,2025-01-13,,Active,24800,25600,0.969,4,64,32,7,No,
UAE-SYN-0089,Customer Experience,Customer Experience,L2,Dubai,Woman,International,Permanent,2016-04-21,,Active,10900,10500,1.038,5,60,30,8,No,
UAE-SYN-0090,Operations,Operations,L1,Abu Dhabi,Man,International,Permanent,2021-11-06,,Active,7300,7200,1.014,3,93,21,9,No,
UAE-SYN-0091,Technology,Technology,L2,Dubai,Man,International,Permanent,2016-03-27,,Active,20300,17800,1.14,4,72,13,10,No,
UAE-SYN-0092,People & Culture,People & Culture,L2,Dubai,Man,International,Permanent,2019-08-04,2025-12-17,Exited,14400,13000,1.108,3,59,26,9,No,No
UAE-SYN-0093,People & Culture,People & Culture,L1,Sharjah,Man,International,Permanent,2020-09-01,2025-08-10,Exited,8300,8400,0.988,4,72,0,3,No,Yes
UAE-SYN-0094,Customer Experience,Customer Experience,L1,Dubai,Man,International,Permanent,2019-04-14,,Active,7200,6800,1.059,4,84,6,10,No,
UAE-SYN-0095,People & Culture,People & Culture,L4,Dubai,Woman,International,Permanent,2024-04-13,,Active,28900,29800,0.97,4,75,12,8,No,
UAE-SYN-0096,Sales,Commercial,L2,Dubai,Woman,International,Permanent,2021-09-24,,Active,11100,12700,0.874,3,75,24,6,No,
UAE-SYN-0097,Customer Experience,Customer Experience,L2,Abu Dhabi,Woman,International,Permanent,2025-12-28,,Active,9000,10500,0.857,2,60,2,12,No,
UAE-SYN-0098,Customer Experience,Customer Experience,L3,Dubai,Man,International,Permanent,2025-07-17,,Active,13000,16000,0.812,3,79,27,3,Yes,
UAE-SYN-0099,Operations,Operations,L2,Abu Dhabi,Woman,International,Permanent,2025-12-22,,Active,11400,11200,1.018,4,77,16,1,No,
UAE-SYN-0100,Technology,Technology,L3,Dubai,Man,UAE National,Fixed-term,2018-10-07,,Active,27400,27000,1.015,4,77,24,6,No,
UAE-SYN-0101,Sales,Commercial,L1,Abu Dhabi,Woman,International,Permanent,2022-05-08,,Active,8500,8200,1.037,3,65,21,6,No,
UAE-SYN-0102,Sales,Commercial,L3,Abu Dhabi,Man,International,Permanent,2019-11-04,,Active,21100,19300,1.093,4,62,28,3,Yes,
UAE-SYN-0103,Technology,Technology,L2,Abu Dhabi,Man,International,Permanent,2018-05-28,,Active,17000,17800,0.955,3,68,30,4,No,
UAE-SYN-0104,Sales,Commercial,L3,Dubai,Man,International,Permanent,2026-03-03,,Active,16200,19300,0.839,3,53,37,5,No,
UAE-SYN-0105,People & Culture,People & Culture,L1,Sharjah,Woman,International,Permanent,2017-07-15,,Active,8600,8400,1.024,3,84,27,5,No,
UAE-SYN-0106,Sales,Commercial,L3,Dubai,Woman,International,Permanent,2017-06-06,,Active,19800,19300,1.026,4,77,21,9,No,
UAE-SYN-0107,Operations,Operations,L1,Abu Dhabi,Man,International,Permanent,2016-07-31,,Active,8200,7200,1.139,3,71,32,11,No,
UAE-SYN-0108,Operations,Operations,L4,Abu Dhabi,Man,International,Permanent,2024-05-19,,Active,21700,25600,0.848,5,60,13,4,No,
UAE-SYN-0109,Technology,Technology,L1,Sharjah,Woman,International,Permanent,2026-05-24,,Active,9500,11500,0.826,3,72,26,6,No,
UAE-SYN-0110,Sales,Commercial,L1,Dubai,Woman,International,Permanent,2024-03-05,,Active,7200,8200,0.878,2,64,4,7,No,
UAE-SYN-0111,Customer Experience,Customer Experience,L2,Dubai,Man,International,Permanent,2024-02-08,,Active,10800,10500,1.029,4,77,22,0,No,
UAE-SYN-0112,Sales,Commercial,L2,Abu Dhabi,Man,International,Permanent,2019-12-28,,Active,11500,12700,0.906,4,80,37,4,No,
UAE-SYN-0113,Technology,Technology,L2,Dubai,Woman,International,Permanent,2020-05-11,2026-02-01,Exited,18200,17800,1.022,2,67,22,6,No,No
UAE-SYN-0114,Customer Experience,Customer Experience,L1,Dubai,Woman,UAE National,Permanent,2024-05-13,,Active,6900,6800,1.015,3,82,7,9,No,
UAE-SYN-0115,Technology,Technology,L3,Dubai,Man,International,Permanent,2022-05-07,,Active,25900,27000,0.959,4,81,36,8,No,
UAE-SYN-0116,Technology,Technology,L1,Sharjah,Man,International,Permanent,2018-12-27,,Active,12700,11500,1.104,4,70,23,3,No,
UAE-SYN-0117,People & Culture,People & Culture,L4,Dubai,Man,International,Permanent,2016-09-01,,Active,31600,29800,1.06,3,90,15,10,No,
UAE-SYN-0118,People & Culture,People & Culture,L1,Abu Dhabi,Man,International,Permanent,2026-01-17,,Active,9200,8400,1.095,4,73,23,11,No,
UAE-SYN-0119,Finance,Finance,L1,Dubai,Woman,International,Permanent,2021-05-11,,Active,9400,9200,1.022,4,71,24,12,No,
UAE-SYN-0120,Operations,Operations,L3,Sharjah,Man,International,Permanent,2019-02-25,,Active,18400,16900,1.089,3,71,37,6,No,
UAE-SYN-0121,Technology,Technology,L3,Abu Dhabi,Man,International,Permanent,2018-11-05,,Active,25600,27000,0.948,4,65,30,9,No,
UAE-SYN-0122,Technology,Technology,L1,Abu Dhabi,Woman,International,Permanent,2018-06-28,,Active,10400,11500,0.904,4,72,15,10,No,
UAE-SYN-0123,Customer Experience,Customer Experience,L3,Sharjah,Woman,International,Permanent,2023-06-26,,Active,16800,16000,1.05,3,76,12,8,No,
UAE-SYN-0124,Operations,Operations,L1,Dubai,Woman,International,Permanent,2024-08-03,,Active,7200,7200,1.0,3,82,21,10,No,
UAE-SYN-0125,Technology,Technology,L1,Abu Dhabi,Woman,International,Permanent,2023-11-16,,Active,10300,11500,0.896,2,76,33,8,No,
UAE-SYN-0126,Operations,Operations,L3,Abu Dhabi,Woman,International,Permanent,2020-01-13,,Active,14700,16900,0.87,2,62,30,11,No,
UAE-SYN-0127,Customer Experience,Customer Experience,L3,Abu Dhabi,Woman,International,Permanent,2022-09-28,,Active,16700,16000,1.044,3,54,21,9,No,
UAE-SYN-0128,Sales,Commercial,L3,Abu Dhabi,Woman,International,Permanent,2024-06-04,,Active,17200,19300,0.891,3,73,12,6,Yes,
UAE-SYN-0129,Customer Experience,Customer Experience,L3,Abu Dhabi,Man,International,Permanent,2020-10-18,,Active,15300,16000,0.956,4,64,7,5,No,
UAE-SYN-0130,Operations,Operations,L2,Dubai,Woman,International,Permanent,2018-02-01,,Active,10800,11200,0.964,2,96,47,3,No,
UAE-SYN-0131,Customer Experience,Customer Experience,L3,Dubai,Man,UAE National,Fixed-term,2021-12-23,,Active,15000,16000,0.938,3,87,6,0,No,
UAE-SYN-0132,Technology,Technology,L1,Dubai,Man,UAE National,Permanent,2019-12-09,,Active,9700,11500,0.843,5,82,20,10,Yes,
UAE-SYN-0133,Customer Experience,Customer Experience,L1,Abu Dhabi,Man,International,Permanent,2019-08-18,,Active,6700,6800,0.985,4,78,13,7,No,
UAE-SYN-0134,Operations,Operations,L2,Dubai,Man,UAE National,Permanent,2021-04-06,,Active,10200,11200,0.911,3,85,36,1,No,
UAE-SYN-0135,Technology,Technology,L1,Abu Dhabi,Man,International,Permanent,2020-03-17,,Active,11100,11500,0.965,3,96,38,4,No,
UAE-SYN-0136,Operations,Operations,L1,Abu Dhabi,Man,International,Permanent,2025-05-23,,Active,7400,7200,1.028,3,85,24,5,No,
UAE-SYN-0137,Operations,Operations,L3,Sharjah,Woman,International,Permanent,2023-08-16,,Active,15900,16900,0.941,4,78,30,8,No,
UAE-SYN-0138,Customer Experience,Customer Experience,L3,Dubai,Man,International,Permanent,2021-09-11,,Active,17700,16000,1.106,3,82,41,14,Yes,
UAE-SYN-0139,Sales,Commercial,L3,Sharjah,Man,International,Permanent,2023-07-24,,Active,17500,19300,0.907,4,81,47,9,No,
UAE-SYN-0140,Operations,Operations,L1,Abu Dhabi,Man,International,Permanent,2018-09-23,,Active,7700,7200,1.069,5,89,60,6,Yes,
UAE-SYN-0141,Customer Experience,Customer Experience,L2,Dubai,Man,International,Permanent,2025-01-11,,Active,9300,10500,0.886,4,83,27,7,No,
UAE-SYN-0142,Sales,Commercial,L1,Abu Dhabi,Man,UAE National,Permanent,2023-01-29,2025-04-01,Exited,7800,8200,0.951,4,87,24,3,No,Yes
UAE-SYN-0143,Customer Experience,Customer Experience,L1,Abu Dhabi,Man,UAE National,Permanent,2023-09-03,,Active,6000,6800,0.882,4,70,37,11,No,
UAE-SYN-0144,People & Culture,People & Culture,L1,Abu Dhabi,Woman,International,Permanent,2020-07-03,,Active,8900,8400,1.06,3,82,38,5,No,
UAE-SYN-0145,Customer Experience,Customer Experience,L2,Dubai,Man,UAE National,Permanent,2018-02-14,,Active,9400,10500,0.895,3,94,33,3,No,
UAE-SYN-0146,People & Culture,People & Culture,L3,Dubai,Man,International,Permanent,2021-07-29,,Active,21200,19700,1.076,4,79,29,7,No,
UAE-SYN-0147,Sales,Commercial,L2,Dubai,Woman,International,Permanent,2025-01-28,,Active,13100,12700,1.031,2,77,15,12,No,
UAE-SYN-0148,Sales,Commercial,L3,Sharjah,Woman,UAE National,Fixed-term,2020-11-10,2026-05-13,Exited,19800,19300,1.026,5,91,26,3,No,Yes
UAE-SYN-0149,Finance,Finance,L2,Dubai,Woman,International,Permanent,2018-04-24,,Active,15000,14300,1.049,3,84,7,10,No,
UAE-SYN-0150,Finance,Finance,L3,Dubai,Woman,International,Permanent,2022-02-26,,Active,20500,21600,0.949,3,76,8,9,No,
UAE-SYN-0151,Finance,Finance,L1,Dubai,Woman,International,Permanent,2020-03-16,,Active,8900,9200,0.967,4,93,28,5,Yes,
UAE-SYN-0152,Sales,Commercial,L3,Dubai,Man,International,Permanent,2018-10-28,,Active,19900,19300,1.031,3,83,7,4,No,
UAE-SYN-0153,Technology,Technology,L3,Abu Dhabi,Woman,UAE National,Permanent,2016-03-30,,Active,30600,27000,1.133,3,88,31,6,No,
UAE-SYN-0154,Customer Experience,Customer Experience,L3,Dubai,Man,International,Permanent,2023-09-18,,Active,16400,16000,1.025,5,61,27,11,No,
UAE-SYN-0155,Sales,Commercial,L1,Dubai,Man,International,Permanent,2022-11-04,,Active,8300,8200,1.012,3,88,34,9,Yes,
UAE-SYN-0156,People & Culture,People & Culture,L3,Sharjah,Man,International,Permanent,2018-01-18,,Active,19200,19700,0.975,2,58,37,10,No,
UAE-SYN-0157,Sales,Commercial,L1,Abu Dhabi,Woman,International,Permanent,2021-02-01,2024-09-10,Exited,7300,8200,0.89,4,63,15,2,Yes,Yes
UAE-SYN-0158,Technology,Technology,L1,Dubai,Woman,International,Permanent,2022-08-08,2024-09-03,Exited,11400,11500,0.991,3,68,28,6,No,No
UAE-SYN-0159,Customer Experience,Customer Experience,L2,Dubai,Woman,International,Permanent,2025-06-23,,Active,8800,10500,0.838,4,72,40,8,No,
UAE-SYN-0160,Sales,Commercial,L1,Sharjah,Man,International,Permanent,2022-03-13,,Active,8200,8200,1.0,2,59,4,8,Yes,
UAE-SYN-0161,Customer Experience,Customer Experience,L1,Sharjah,Man,International,Permanent,2020-09-21,2024-08-18,Exited,6700,6800,0.985,3,78,32,2,No,No
UAE-SYN-0162,Finance,Finance,L2,Dubai,Man,UAE National,Permanent,2018-01-12,,Active,13700,14300,0.958,3,74,27,7,No,
UAE-SYN-0163,Operations,Operations,L2,Dubai,Woman,International,Fixed-term,2016-10-07,,Active,11000,11200,0.982,4,67,40,6,No,
UAE-SYN-0164,Customer Experience,Customer Experience,L2,Dubai,Woman,International,Permanent,2017-03-07,,Active,9600,10500,0.914,3,75,5,7,No,
UAE-SYN-0165,Technology,Technology,L2,Sharjah,Man,International,Permanent,2021-05-29,2025-11-11,Exited,17600,17800,0.989,4,83,28,4,Yes,Yes
UAE-SYN-0166,Sales,Commercial,L1,Dubai,Man,International,Permanent,2017-07-31,,Active,7900,8200,0.963,5,74,28,3,No,
UAE-SYN-0167,Technology,Technology,L2,Dubai,Man,International,Permanent,2020-06-27,,Active,17300,17800,0.972,4,61,17,11,No,
UAE-SYN-0168,Sales,Commercial,L3,Dubai,Man,UAE National,Fixed-term,2018-07-23,2025-04-05,Exited,18600,19300,0.964,4,87,14,7,No,Yes
UAE-SYN-0169,Operations,Operations,L4,Abu Dhabi,Woman,International,Permanent,2019-04-26,,Active,27000,25600,1.055,3,67,19,7,No,
UAE-SYN-0170,People & Culture,People & Culture,L3,Abu Dhabi,Woman,International,Permanent,2021-04-23,2024-09-21,Exited,18400,19700,0.934,4,67,42,7,Yes,Yes
UAE-SYN-0171,Technology,Technology,L1,Dubai,Man,International,Permanent,2021-03-10,,Active,10400,11500,0.904,4,71,43,13,No,
UAE-SYN-0172,Customer Experience,Customer Experience,L4,Dubai,Woman,International,Permanent,2023-07-16,2025-07-12,Exited,24400,24100,1.012,2,74,20,7,No,No
UAE-SYN-0173,Operations,Operations,L1,Abu Dhabi,Man,International,Permanent,2016-06-17,,Active,6600,7200,0.917,2,77,55,10,No,
UAE-SYN-0174,Sales,Commercial,L1,Sharjah,Woman,International,Permanent,2024-01-28,,Active,8300,8200,1.012,4,73,25,7,Yes,
UAE-SYN-0175,Sales,Commercial,L1,Dubai,Man,International,Permanent,2026-05-13,,Active,6900,8200,0.841,4,86,0,6,No,
UAE-SYN-0176,Operations,Operations,L4,Dubai,Man,International,Fixed-term,2019-01-09,2025-01-10,Exited,27700,25600,1.082,4,82,24,4,No,Yes
UAE-SYN-0177,Operations,Operations,L1,Dubai,Woman,International,Permanent,2019-01-25,,Active,6800,7200,0.944,2,74,52,1,No,
UAE-SYN-0178,Sales,Commercial,L1,Dubai,Man,International,Permanent,2022-08-29,,Active,7000,8200,0.854,4,50,47,9,Yes,
UAE-SYN-0179,Finance,Finance,L2,Dubai,Woman,International,Permanent,2017-05-10,,Active,15200,14300,1.063,3,72,37,4,No,
UAE-SYN-0180,Operations,Operations,L1,Dubai,Woman,UAE National,Permanent,2016-07-13,,Active,7200,7200,1.0,3,69,35,6,No,
UAE-SYN-0181,Operations,Operations,L2,Dubai,Woman,International,Permanent,2017-03-24,,Active,11000,11200,0.982,2,71,42,2,No,
UAE-SYN-0182,Sales,Commercial,L4,Abu Dhabi,Man,International,Permanent,2020-08-06,,Active,29400,29100,1.01,3,70,18,9,No,
