Plan_ID,Employee_ID,Plan_Status,Target_Competency_ID,Development_Action,Milestone_30_Days,Milestone_60_Days,Milestone_90_Days,Mentor_Employee_ID,Planned_Training_Hours,Kirkpatrick_L1_Reaction_Score,Kirkpatrick_L2_Learning_Percent,Kirkpatrick_L3_Behavior_Status,Kirkpatrick_L4_Result_Measure
IDP-2026-001,APD-2026-001,Active,COMP-001,Guided practice sprint,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-014,12,4.4,86.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-024,APD-2026-024,Active,COMP-010,Peer calibration lab,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-037,24,4.7,89.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-025,APD-2026-025,Active,COMP-013,Mentored work sample,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-038,28,4.8,90.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-026,APD-2026-026,Active,COMP-016,Scenario rehearsal,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-039,12,4.4,86.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-027,APD-2026-027,Active,COMP-019,Cross-functional rotation,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-040,16,4.5,87.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-028,APD-2026-028,Active,COMP-002,Facilitated action learning,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-041,20,4.6,88.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-029,APD-2026-029,Active,COMP-005,Guided practice sprint,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-042,24,4.7,89.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-030,APD-2026-030,Active,COMP-008,Stretch assignment,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-043,28,4.8,90.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-031,APD-2026-031,Active,COMP-011,Peer calibration lab,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-044,12,4.4,86.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-032,APD-2026-032,Active,COMP-014,Mentored work sample,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-045,16,4.5,87.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-033,APD-2026-033,Active,COMP-017,Scenario rehearsal,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-046,20,4.6,88.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-034,APD-2026-034,Active,COMP-020,Cross-functional rotation,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-047,24,4.7,89.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-035,APD-2026-035,Active,COMP-003,Facilitated action learning,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-048,28,4.8,90.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-036,APD-2026-036,Active,COMP-006,Guided practice sprint,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-049,12,4.4,86.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-037,APD-2026-037,Active,COMP-009,Stretch assignment,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-050,16,4.5,87.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-038,APD-2026-038,Active,COMP-012,Peer calibration lab,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-051,20,4.6,88.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-039,APD-2026-039,Active,COMP-015,Mentored work sample,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-052,24,4.7,89.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-040,APD-2026-040,Active,COMP-018,Scenario rehearsal,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-053,28,4.8,90.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-041,APD-2026-041,Active,COMP-001,Cross-functional rotation,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-054,12,4.4,86.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-042,APD-2026-042,Active,COMP-004,Facilitated action learning,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-055,16,4.5,87.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-043,APD-2026-043,Active,COMP-007,Guided practice sprint,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-056,20,4.6,88.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-044,APD-2026-044,Active,COMP-010,Stretch assignment,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-057,24,4.7,89.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-045,APD-2026-045,Active,COMP-013,Peer calibration lab,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-058,28,4.8,90.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-046,APD-2026-046,Active,COMP-016,Mentored work sample,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-059,12,4.4,86.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-047,APD-2026-047,Active,COMP-019,Scenario rehearsal,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-060,16,4.5,87.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-048,APD-2026-048,Active,COMP-002,Cross-functional rotation,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-061,20,4.6,88.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-049,APD-2026-049,Active,COMP-005,Facilitated action learning,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-062,24,4.7,89.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-050,APD-2026-050,Active,COMP-008,Guided practice sprint,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-063,28,4.8,90.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-051,APD-2026-051,Active,COMP-011,Stretch assignment,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-064,12,4.4,86.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-052,APD-2026-052,Active,COMP-014,Peer calibration lab,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-065,16,4.5,87.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-053,APD-2026-053,Active,COMP-017,Mentored work sample,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-066,20,4.6,88.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-054,APD-2026-054,Active,COMP-020,Scenario rehearsal,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-067,24,4.7,89.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-055,APD-2026-055,Active,COMP-003,Cross-functional rotation,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-068,28,4.8,90.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-056,APD-2026-056,Active,COMP-006,Facilitated action learning,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-069,12,4.4,86.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-057,APD-2026-057,Active,COMP-009,Guided practice sprint,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-070,16,4.5,87.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-058,APD-2026-058,Active,COMP-012,Stretch assignment,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-001,20,4.6,88.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-059,APD-2026-059,Completed,COMP-015,Peer calibration lab,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-002,24,4.7,89.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-060,APD-2026-060,Completed,COMP-018,Mentored work sample,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-003,28,4.8,90.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-061,APD-2026-061,Completed,COMP-001,Scenario rehearsal,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-004,12,4.4,86.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-062,APD-2026-062,Completed,COMP-004,Cross-functional rotation,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-005,16,4.5,87.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-063,APD-2026-063,Completed,COMP-007,Facilitated action learning,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-006,20,4.6,88.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-064,APD-2026-064,Completed,COMP-010,Guided practice sprint,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-007,24,4.7,89.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-065,APD-2026-065,Completed,COMP-013,Stretch assignment,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-008,28,4.8,90.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-066,APD-2026-066,Completed,COMP-016,Peer calibration lab,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-009,12,4.4,86.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-067,APD-2026-067,Completed,COMP-019,Mentored work sample,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-010,16,4.5,87.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-068,APD-2026-068,Completed,COMP-002,Scenario rehearsal,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-011,20,4.6,88.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-069,APD-2026-069,Completed,COMP-005,Cross-functional rotation,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-012,24,4.7,89.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-070,APD-2026-070,Completed,COMP-008,Facilitated action learning,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-013,28,4.8,90.6,Pending,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
