Employee_ID,Synthetic_Name,Department,Grade,Performance_Score,Potential_Score,9_Box_Category,Technical_Mastery_Percent,Compliance_Mastery_Percent,Leadership_Mastery_Percent,Overall_Mastery_Percent,Mean_Skill_Gap
APD-2026-042,Synthetic Colleague 042,Supply Chain,G2,2,2,Core Contributor,80.4,79.8,79.2,79.8,-0.66
APD-2026-043,Synthetic Colleague 043,Supply Chain,G3,2,2,Core Contributor,80.4,79.8,81.0,80.4,-0.30
APD-2026-044,Synthetic Colleague 044,Supply Chain,G4,2,2,Core Contributor,80.4,82.2,80.4,81.0,-0.36
APD-2026-045,Synthetic Colleague 045,Supply Chain,G5,2,2,Core Contributor,80.4,80.4,84.0,81.6,-0.42
APD-2026-046,Synthetic Colleague 046,Supply Chain,G1,2,2,Core Contributor,80.4,79.8,77.4,79.2,-0.48
APD-2026-047,Synthetic Colleague 047,Supply Chain,G2,2,2,Core Contributor,80.4,79.8,79.2,79.8,-0.54
APD-2026-048,Synthetic Colleague 048,Supply Chain,G3,2,2,Core Contributor,80.4,79.8,81.0,80.4,-0.60
APD-2026-049,Synthetic Colleague 049,Supply Chain,G4,2,2,Core Contributor,80.4,82.2,80.4,81.0,-0.66
APD-2026-050,Synthetic Colleague 050,Supply Chain,G5,2,2,Core Contributor,80.4,80.4,84.0,81.6,-0.30
APD-2026-051,Synthetic Colleague 051,Supply Chain,G1,1,2,Development Focus,69.5,68.9,66.5,68.3,-0.36
APD-2026-052,Synthetic Colleague 052,Supply Chain,G2,1,2,Development Focus,69.5,68.9,68.3,68.9,-0.42
APD-2026-053,Synthetic Colleague 053,Supply Chain,G3,1,2,Development Focus,69.5,68.9,70.1,69.5,-0.48
APD-2026-054,Synthetic Colleague 054,Supply Chain,G4,1,2,Development Focus,69.5,71.3,69.5,70.1,-0.54
APD-2026-055,Synthetic Colleague 055,Supply Chain,G5,1,2,Development Focus,69.5,69.5,73.1,70.7,-0.60
APD-2026-056,Synthetic Colleague 056,Supply Chain,G1,1,2,Development Focus,69.5,68.9,66.5,68.3,-0.66
APD-2026-057,Synthetic Colleague 057,People & Culture,G2,3,1,Trusted Professional,84.5,83.9,83.3,83.9,-0.30
APD-2026-058,Synthetic Colleague 058,People & Culture,G3,3,1,Trusted Professional,84.5,83.9,85.1,84.5,-0.36
APD-2026-059,Synthetic Colleague 059,People & Culture,G4,3,1,Trusted Professional,84.5,86.3,84.5,85.1,-0.42
APD-2026-060,Synthetic Colleague 060,People & Culture,G5,3,1,Trusted Professional,84.5,84.5,88.1,85.7,-0.48
APD-2026-061,Synthetic Colleague 061,People & Culture,G1,3,1,Trusted Professional,84.5,83.9,81.5,83.3,-0.54
APD-2026-062,Synthetic Colleague 062,People & Culture,G2,2,1,Effective Contributor,76.5,75.9,75.3,75.9,-0.60
APD-2026-063,Synthetic Colleague 063,People & Culture,G3,2,1,Effective Contributor,76.5,75.9,77.1,76.5,-0.66
APD-2026-064,Synthetic Colleague 064,People & Culture,G4,2,1,Effective Contributor,76.5,78.3,76.5,77.1,-0.30
APD-2026-065,Synthetic Colleague 065,People & Culture,G5,2,1,Effective Contributor,76.5,76.5,80.1,77.7,-0.36
APD-2026-066,Synthetic Colleague 066,People & Culture,G1,2,1,Effective Contributor,76.5,75.9,73.5,75.3,-0.42
APD-2026-067,Synthetic Colleague 067,People & Culture,G2,1,1,Priority Support,63.5,62.9,62.3,62.9,-0.48
APD-2026-068,Synthetic Colleague 068,People & Culture,G3,1,1,Priority Support,63.5,62.9,64.1,63.5,-0.54
APD-2026-069,Synthetic Colleague 069,People & Culture,G4,1,1,Priority Support,63.5,65.3,63.5,64.1,-0.60
APD-2026-070,Synthetic Colleague 070,People & Culture,G5,1,1,Priority Support,63.5,63.5,67.1,64.7,-0.66
