Employee_ID,Department,Location,Job_Level,Tenure_Years,Performance_Rating,Engagement_Score,Training_Hours_YTD,Absence_Days_YTD,Monthly_Salary_INR,Attrition
SYN-084,Operations,Delhi NCR,Associate,1.6,3,69,27,5,50000,No
SYN-085,Operations,Mumbai,Entry,4.5,3,79,30,1,26000,Yes
SYN-086,Finance,Mumbai,Manager,1.3,3,59,13,4,103000,Yes
SYN-087,Sales,Delhi NCR,Entry,1.6,4,59,35,6,32000,No
SYN-088,Sales,Aligarh,Specialist,3.0,3,65,31,9,78500,No
SYN-089,Sales,Aligarh,Specialist,3.4,4,74,26,6,70000,No
SYN-090,Sales,Bengaluru,Entry,3.1,3,59,25,13,28500,Yes
SYN-091,Operations,Hyderabad,Entry,0.6,4,90,34,12,27000,No
SYN-092,Technology,Bengaluru,Specialist,0.2,2,58,40,4,79000,Yes
SYN-093,Human Resources,Aligarh,Associate,1.9,3,79,13,6,49000,No
SYN-094,Sales,Aligarh,Entry,1.6,4,68,5,6,30000,Yes
SYN-095,Customer Support,Bengaluru,Specialist,3.9,4,59,24,10,67000,No
SYN-096,Operations,Delhi NCR,Associate,4.9,3,56,22,8,45000,Yes
SYN-097,Sales,Aligarh,Associate,3.5,4,53,0,10,52000,No
SYN-098,Operations,Bengaluru,Associate,6.6,3,77,19,10,50500,No
SYN-099,Technology,Aligarh,Specialist,3.2,4,53,44,4,86500,Yes
SYN-100,Technology,Bengaluru,Specialist,5.8,3,73,26,11,80000,No
SYN-101,Finance,Delhi NCR,Specialist,3.0,3,71,30,9,80000,No
SYN-102,Sales,Aligarh,Manager,4.4,4,59,24,5,94500,No
SYN-103,Sales,Bengaluru,Entry,0.5,4,78,44,4,31000,No
SYN-104,Human Resources,Mumbai,Entry,1.5,5,81,30,6,30500,No
SYN-105,Operations,Delhi NCR,Entry,1.0,4,74,19,1,33000,Yes
SYN-106,Sales,Bengaluru,Entry,2.5,3,78,39,14,27000,No
SYN-107,Operations,Delhi NCR,Associate,4.5,3,71,19,11,52000,No
SYN-108,Operations,Mumbai,Associate,5.0,3,75,22,3,49000,No
SYN-109,Human Resources,Mumbai,Specialist,0.8,4,65,16,8,72000,No
SYN-110,Customer Support,Hyderabad,Specialist,1.6,4,81,23,5,69500,Yes
SYN-111,Human Resources,Aligarh,Specialist,6.9,2,69,14,2,63000,No
SYN-112,Operations,Hyderabad,Entry,2.4,4,68,21,11,30500,No
SYN-113,Operations,Delhi NCR,Associate,2.7,5,70,20,2,48000,No
SYN-114,Sales,Bengaluru,Entry,3.7,4,71,23,9,32000,Yes
SYN-115,Sales,Delhi NCR,Entry,5.8,2,68,5,7,31500,No
SYN-116,Customer Support,Bengaluru,Associate,10.0,4,81,18,9,42500,No
SYN-117,Sales,Hyderabad,Specialist,2.3,2,70,17,5,73000,No
SYN-118,Operations,Bengaluru,Associate,1.3,5,86,34,6,50000,No
SYN-119,Sales,Mumbai,Associate,1.0,4,89,37,2,53500,No
SYN-120,Sales,Delhi NCR,Entry,1.2,5,69,44,10,29000,No
