Task_ID,Employee_ID,Phase,Task_Name,Assigned_Role,SLA_Hours,Actual_Hours,Variance_Hours,Status,Escalation_Required
TASK-047,APD-2026-016,Month 1,Day 30 Role Clarity Sign-off,HM,720,600,-120,Completed,No
TASK-048,APD-2026-016,Month 3,90-Day Review Pack,HR,48,44,-4,In Progress,No
TASK-049,APD-2026-017,Day 1,Day 1 Readiness Verification,HR,24,19,-5,Completed,No
TASK-050,APD-2026-017,Month 1,Day 30 Role Clarity Sign-off,HM,720,624,-96,Completed,No
TASK-051,APD-2026-017,Preboarding,Document Verification,HR,48,46,-2,Completed,No
TASK-052,APD-2026-018,Day 1,Day 1 Readiness Verification,IT,24,18,-6,Completed,No
TASK-053,APD-2026-018,Month 1,Day 30 Role Clarity Sign-off,HM,720,648,-72,Completed,No
TASK-054,APD-2026-018,Week 1,Document Verification,HR,48,348,300,Overdue,Yes
TASK-055,APD-2026-019,Day 1,Day 1 Readiness Verification,HR,24,20,-4,Completed,No
TASK-056,APD-2026-019,Month 1,Day 30 Role Clarity Sign-off,HM,720,672,-48,Completed,No
TASK-057,APD-2026-019,Month 2,Manager Feedback Checkpoint,HM,48,45,-3,In Progress,No
TASK-058,APD-2026-020,Day 1,Day 1 Readiness Verification,IT,24,22,-2,Completed,No
TASK-059,APD-2026-020,Month 1,Day 30 Role Clarity Sign-off,HM,720,792,72,Completed,No
TASK-060,APD-2026-020,Month 3,IT Provisioning Remediation,IT,48,357.6,309.6,Overdue,Yes
